Event Start Time ms	Peak Amp uV	Time of Peak ms	Time of Antipeak ms	Interspike Interval ms
34217.500000000000000	-100.628280639648440	34217.898437500000000	34217.699218750000000	1047.698974609375000
34459.199218750000000	-100.128219604492190	34459.500000000000000	34459.300781250000000	241.601547241210940
35120.601562500000000	-94.973152160644531	35120.898437500000000	35120.800781250000000	661.398376464843750
35280.300781250000000	-111.093994140625000	35280.699218750000000	35280.500000000000000	159.801055908203120
35334.500000000000000	-95.838813781738281	35334.898437500000000	35334.699218750000000	54.199001312255859
35677.101562500000000	-98.993400573730469	35677.500000000000000	35677.300781250000000	342.601501464843750
35793.398437500000000	-99.234703063964844	35793.699218750000000	35793.601562500000000	116.199340820312500
36309.601562500000000	-95.555046081542969	36310.000000000000000	36309.800781250000000	516.300659179687500
37129.199218750000000	-96.031219482421875	37129.601562500000000	37129.398437500000000	819.601623535156250
37570.101562500000000	-113.900032043457030	37570.500000000000000	37570.300781250000000	440.898406982421870
37735.199218750000000	-106.099029541015620	37735.601562500000000	37735.398437500000000	165.101608276367190
38478.000000000000000	-105.153083801269530	38478.300781250000000	38478.199218750000000	742.699218750000000
39729.398437500000000	-102.678604125976560	39729.699218750000000	39729.500000000000000	1251.398559570312500
40293.800781250000000	-104.485481262207030	40294.101562500000000	40293.898437500000000	564.402526855468750
40595.300781250000000	-104.716590881347660	40595.699218750000000	40595.500000000000000	301.597656250000000
40921.101562500000000	-99.500381469726563	40921.398437500000000	40921.199218750000000	325.698944091796870
42967.601562500000000	-96.172256469726563	42968.000000000000000	42967.800781250000000	2046.601562500000000
43519.699218750000000	-93.499893188476563	43520.101562500000000	43519.898437500000000	552.101623535156250
44449.101562500000000	-103.930122375488280	44449.500000000000000	44449.300781250000000	929.398376464843750
44901.398437500000000	-110.613700866699220	44901.800781250000000	44901.601562500000000	452.300903320312500
45233.898437500000000	-110.324073791503910	45234.300781250000000	45234.101562500000000	332.500000000000000
47845.199218750000000	-108.787673950195310	47845.601562500000000	47845.398437500000000	2611.300781250000000
48305.300781250000000	-96.905418395996094	48305.601562500000000	48305.500000000000000	460.000244140625000
48462.300781250000000	-99.099952697753906	48462.699218750000000	48462.500000000000000	157.097656250000000
51127.000000000000000	-113.387123107910160	51127.398437500000000	51127.199218750000000	2664.698974609375000
55758.800781250000000	-107.107185363769530	55759.199218750000000	55759.000000000000000	4631.800781250000000
56579.101562500000000	-101.386024475097660	56579.398437500000000	56579.300781250000000	820.198913574218750
57199.699218750000000	-110.642005920410160	57200.101562500000000	57199.898437500000000	620.703186035156250
57611.898437500000000	-100.177795410156250	57612.300781250000000	57612.101562500000000	412.199310302734370
57822.199218750000000	-101.251502990722660	57822.500000000000000	57822.300781250000000	210.199142456054690
58185.601562500000000	-108.476699829101560	58186.000000000000000	58185.800781250000000	363.499969482421870
58390.898437500000000	-105.651603698730470	58391.300781250000000	58391.101562500000000	205.300903320312500
58573.898437500000000	-94.769149780273438	58574.199218750000000	58574.101562500000000	182.898437500000000
59794.500000000000000	-105.460662841796870	59794.898437500000000	59794.699218750000000	1220.699096679687500
60088.800781250000000	-95.598396301269531	60089.199218750000000	60089.000000000000000	294.300994873046870
61679.601562500000000	-95.811668395996094	61680.000000000000000	61679.800781250000000	1590.800537109375000
64484.699218750000000	-95.069091796875000	64485.101562500000000	64484.898437500000000	2805.101562500000000
65546.000000000000000	-106.927352905273440	65546.398437500000000	65546.203125000000000	1061.296875000000000
66279.296875000000000	-100.961975097656250	66279.601562500000000	66279.500000000000000	733.203247070312500
66798.296875000000000	-94.462997436523438	66798.703125000000000	66798.500000000000000	519.101562500000000
67629.703125000000000	-105.466308593750000	67630.101562500000000	67629.898437500000000	831.398315429687500
71719.203125000000000	-103.686614990234370	71719.601562500000000	71719.398437500000000	4089.500000000000000
72658.000000000000000	-106.075180053710940	72658.398437500000000	72658.203125000000000	938.796875000000000
74234.500000000000000	-102.219841003417970	74234.898437500000000	74234.703125000000000	1576.500000000000000
78692.101562500000000	-101.798156738281250	78692.500000000000000	78692.296875000000000	4457.601562500000000
80238.398437500000000	-101.630149841308590	80238.796875000000000	80238.601562500000000	1546.296997070312500
80759.500000000000000	-103.115585327148440	80759.898437500000000	80759.703125000000000	521.101501464843750
82104.296875000000000	-98.749633789062500	82104.703125000000000	82104.500000000000000	1344.804809570312500
82610.703125000000000	-106.486846923828120	82611.101562500000000	82610.898437500000000	506.398284912109370
83231.000000000000000	-101.292831420898440	83231.398437500000000	83231.203125000000000	620.296875000000000
84215.601562500000000	-105.473114013671870	84216.000000000000000	84215.796875000000000	984.601501464843750
85770.000000000000000	-111.678382873535160	85770.398437500000000	85770.203125000000000	1554.398559570312500
86317.203125000000000	-110.056823730468750	86317.601562500000000	86317.398437500000000	547.203125000000000
88398.796875000000000	-95.765602111816406	88399.203125000000000	88399.000000000000000	2081.601806640625000
89802.398437500000000	-109.225723266601560	89802.796875000000000	89802.601562500000000	1403.593627929687500
90313.796875000000000	-109.111785888671880	90314.203125000000000	90314.000000000000000	511.406311035156250
92973.601562500000000	-97.319122314453125	92974.000000000000000	92973.796875000000000	2659.796630859375000
98766.601562500000000	-93.597862243652344	98767.000000000000000	98766.796875000000000	5793.000000000000000
101248.601562500000000	-97.909591674804688	101249.000000000000000	101248.796875000000000	2482.000000000000000
102537.000000000000000	-102.857879638671870	102537.296875000000000	102537.101562500000000	1288.296997070312500
103496.601562500000000	-111.907958984375000	103497.000000000000000	103496.796875000000000	959.703063964843750
103805.203125000000000	-103.596672058105470	103805.601562500000000	103805.398437500000000	308.601593017578120
104692.601562500000000	-108.818550109863280	104693.000000000000000	104692.796875000000000	887.398376464843750
105295.296875000000000	-102.601531982421870	105295.703125000000000	105295.500000000000000	602.703308105468750
107762.898437500000000	-98.501159667968750	107763.296875000000000	107763.101562500000000	2467.593750000000000
108261.296875000000000	-101.758460998535160	108261.703125000000000	108261.500000000000000	498.406311035156250
109753.601562500000000	-100.514282226562500	109754.000000000000000	109753.796875000000000	1492.296630859375000
111050.601562500000000	-91.911544799804688	111050.898437500000000	111050.796875000000000	1296.898437500000000
111349.703125000000000	-101.510635375976560	111350.101562500000000	111349.898437500000000	299.203155517578120
112555.398437500000000	-100.007888793945310	112555.796875000000000	112555.601562500000000	1205.695434570312500
113463.000000000000000	-105.368659973144530	113463.398437500000000	113463.203125000000000	907.601501464843750
114073.296875000000000	-106.503631591796870	114073.703125000000000	114073.500000000000000	610.304809570312500
115119.500000000000000	-93.101730346679688	115119.898437500000000	115119.703125000000000	1046.195190429687500
115501.500000000000000	-108.046279907226560	115501.898437500000000	115501.703125000000000	382.000000000000000
116288.101562500000000	-103.894416809082030	116288.500000000000000	116288.296875000000000	786.601501464843750
116590.601562500000000	-98.852745056152344	116591.000000000000000	116590.796875000000000	302.500000000000000
117396.203125000000000	-114.335716247558590	117396.601562500000000	117396.398437500000000	805.601623535156250
117666.703125000000000	-96.733360290527344	117667.000000000000000	117666.898437500000000	270.398437500000000
118034.898437500000000	-98.672111511230469	118035.203125000000000	118035.101562500000000	368.203216552734370
122496.000000000000000	-95.881011962890625	122496.398437500000000	122496.203125000000000	4461.195312500000000
125039.898437500000000	-95.722625732421875	125040.296875000000000	125040.101562500000000	2543.898437500000000
125689.500000000000000	-100.850257873535160	125689.796875000000000	125689.703125000000000	649.499938964843750
126182.601562500000000	-106.177780151367190	126183.000000000000000	126182.796875000000000	493.203063964843750
126622.398437500000000	-110.869194030761720	126622.796875000000000	126622.601562500000000	439.796997070312500
127231.703125000000000	-108.933708190917970	127232.101562500000000	127231.898437500000000	609.304626464843750
128986.296875000000000	-92.745819091796875	128986.703125000000000	128986.500000000000000	1754.601684570312500
130741.101562500000000	-103.796791076660160	130741.500000000000000	130741.296875000000000	1754.796630859375000
131246.203125000000000	-107.965660095214840	131246.593750000000000	131246.406250000000000	505.093780517578130
131561.406250000000000	-101.484794616699220	131561.796875000000000	131561.593750000000000	315.203094482421870
132055.906250000000000	-102.000808715820310	132056.296875000000000	132056.093750000000000	494.500000000000000
136778.203125000000000	-111.461219787597660	136778.593750000000000	136778.406250000000000	4722.296875000000000
137872.703125000000000	-99.265342712402344	137873.093750000000000	137872.906250000000000	1094.500000000000000
138672.593750000000000	-106.890724182128910	138673.000000000000000	138672.796875000000000	799.906555175781250
139632.000000000000000	-89.268608093261719	139632.406250000000000	139632.203125000000000	959.406005859375000
140676.500000000000000	-96.560935974121094	140676.906250000000000	140676.703125000000000	1044.500000000000000
141367.796875000000000	-97.511566162109375	141368.093750000000000	141368.000000000000000	691.187622070312500
142705.203125000000000	-96.631858825683594	142705.593750000000000	142705.406250000000000	1337.499877929687500
143803.500000000000000	-97.143783569335938	143803.796875000000000	143803.703125000000000	1098.203125000000000
144146.906250000000000	-98.340988159179688	144147.296875000000000	144147.093750000000000	343.499938964843750
145913.000000000000000	-98.033905029296875	145913.406250000000000	145913.203125000000000	1766.109375000000000
146971.093750000000000	-93.911743164062500	146971.500000000000000	146971.296875000000000	1058.093994140625000
149356.406250000000000	-97.855590820312500	149356.796875000000000	149356.593750000000000	2385.296630859375000
151112.093750000000000	-108.746818542480470	151112.500000000000000	151112.296875000000000	1755.703369140625000
151569.796875000000000	-99.490005493164062	151570.203125000000000	151570.000000000000000	457.703002929687500
154146.406250000000000	-97.807586669921875	154146.796875000000000	154146.593750000000000	2576.593505859375000
155217.000000000000000	-107.469619750976560	155217.406250000000000	155217.203125000000000	1070.609375000000000
155591.203125000000000	-100.138648986816410	155591.593750000000000	155591.406250000000000	374.187469482421870
156091.500000000000000	-101.240745544433590	156091.906250000000000	156091.703125000000000	500.312530517578130
156745.593750000000000	-100.252548217773440	156745.906250000000000	156745.796875000000000	654.000244140625000
159077.093750000000000	-92.943489074707031	159077.500000000000000	159077.296875000000000	2331.593750000000000
159864.093750000000000	-94.933097839355469	159864.500000000000000	159864.296875000000000	787.000000000000000
160767.296875000000000	-96.552886962890625	160767.703125000000000	160767.500000000000000	903.203002929687500
163261.593750000000000	-108.193527221679690	163262.000000000000000	163261.796875000000000	2494.297119140625000
164967.796875000000000	-106.074516296386720	164968.093750000000000	164967.906250000000000	1706.093627929687500
166972.703125000000000	-97.017021179199219	166973.000000000000000	166972.906250000000000	2004.906127929687500
167325.500000000000000	-104.543762207031250	167325.906250000000000	167325.703125000000000	352.906280517578120
169116.796875000000000	-98.901947021484375	169117.203125000000000	169117.000000000000000	1791.296997070312500
169793.000000000000000	-97.414619445800781	169793.406250000000000	169793.203125000000000	676.203002929687500
170381.406250000000000	-104.848236083984370	170381.796875000000000	170381.593750000000000	588.390563964843750
172577.093750000000000	-97.516822814941406	172577.406250000000000	172577.296875000000000	2195.609619140625000
173649.593750000000000	-92.446685791015625	173650.000000000000000	173649.796875000000000	1072.593750000000000
174814.296875000000000	-102.914077758789060	174814.703125000000000	174814.500000000000000	1164.703002929687500
178353.000000000000000	-109.714591979980470	178353.406250000000000	178353.203125000000000	3538.702880859375000
179707.593750000000000	-97.709007263183594	179707.906250000000000	179707.703125000000000	1354.500244140625000
